Taxa	D3.1	P9.V1	P10.V5	P7.V1	P8.V2	P10.V3	P7.V5	P10.V4	P8.V3	P10.V2	P9.V5	D2.1	P8.V4	P8.V5	P9.V2	P10.V1	D1.2	P9.V4	P8.V1	P7.V4	P9.V3	P7.V3	D1.1	P7.V2
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae|g_Olsenella|s_Olsenella mediterranea|strain_Olsenella mediterranea unknown	0.0	0.00010094891984655764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Blautia|s_Blautia hydrogenotrophica|strain_Blautia hydrogenotrophica DSM 10507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010043185698503566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides sp. 43_46|strain_Bacteroides sp. 43_46 unknown	0.0	0.0	0.0	0.0001013068584743187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001010713563776026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010123506782749544	0.0	0.0002020406101626427	0.0	0.00010112245929821015
d_Bacteria|p_Firmicutes|c_Clostridia|strain_unclassified Clostridia (miscellaneous)|s_Clostridia bacterium UC5.1-1D2|s_Clostridia bacterium UC5.1-1D2|s_Clostridia bacterium UC5.1-1D2|strain_Clostridia bacterium UC5.1-1D2 unknown	0.0	0.0	0.0	0.0	0.0001003310926055985	0.0	0.0008058829455021658	0.0	0.00020169423154497784	0.00010062386798148522	0.0	0.0	0.00010050251256281407	0.0005021592849251784	0.0	0.00010045203415369161	0.0	0.0	0.0008026487408447879	0.00020247013565499088	0.0	0.000606121830487928	0.0	0.0
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae|g_Libanicoccus|s_Libanicoccus massiliensis|strain_Libanicoccus massiliensis unknown	0.00010037137408411121	0.00010094891984655764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Lactobacillus oris|strain_Lactobacillus oris F0423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007035175879396985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus equinus|strain_Streptococcus equinus ATCC 700338	0.0	0.0	0.0005031699708161417	0.0	0.0015049663890839772	0.000402657539762432	0.0	0.0	0.00040338846308995567	0.00020124773596297044	0.0	0.00030321406913280777	0.0	0.0	0.000203190084323885	0.00010045203415369161	0.00010050251256281407	0.0	0.0	0.0	0.0013053519429661615	0.0	0.00020106564793405046	0.0
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces graevenitzii|strain_Actinomyces graevenitzii unknown	0.0	0.0	0.0	0.0	0.0	0.000100664384940608	0.0	0.0	0.0	0.00010062386798148522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010033109260559848	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Clostridiaceae|g_Clostridium|s_Clostridium baratii|strain_Clostridium baratii unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001004419445560466	0.00030321406913280777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010041168792047396	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus pneumoniae|strain_Streptococcus pneumoniae unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001004419445560466	0.0002021427127552052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010041168792047396	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Lactobacillus rhamnosus|strain_Lactobacillus rhamnosus DSM 14870	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005025125628140704	0.004017274279401427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|s_[Eubacterium] siraeum|s_[Eubacterium] siraeum|strain_[Eubacterium] siraeum unknown	0.0	0.00010094891984655764	0.00010063399416322834	0.0	0.0	0.0	0.0	0.0002017145738779627	0.00010084711577248892	0.00010062386798148522	0.0	0.0	0.0	0.0	0.0	0.00010045203415369161	0.0	0.00020106564793405046	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Parabacteroides|s_Parabacteroides merdae|strain_Parabacteroides merdae ATCC 43184	0.00010037137408411121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae|g_Olsenella|s_Olsenella urininfantis|strain_Olsenella urininfantis unknown	0.0	0.00010094891984655764	0.00010063399416322834	0.0	0.0001003310926055985	0.000100664384940608	0.00010073536818777072	0.00010085728693898135	0.00010084711577248892	0.00010062386798148522	0.0001004419445560466	0.0	0.0	0.0	0.0001015950421619425	0.0	0.00010050251256281407	0.0	0.0	0.0	0.00040164675168189584	0.0	0.00010053282396702523	0.0
d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Turicibacter|s_Turicibacter sanguinis|strain_Turicibacter sanguinis unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001004419445560466	0.0	0.0	0.00010043185698503566	0.0	0.0	0.0	0.0	0.0	0.0	0.00010041168792047396	0.0	0.0	0.0
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides finegoldii|strain_Bacteroides finegoldii unknown	0.0	0.0	0.00020126798832645668	0.0005065342923715935	0.0	0.000201328769881216	0.0	0.00030257186081694405	0.0	0.00020124773596297044	0.0	0.0	0.0	0.0	0.0	0.00040180813661476645	0.0003015075376884422	0.0	0.0	0.0	0.0	0.0	0.00020106564793405046	0.0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Roseburia|s_Roseburia faecis|strain_Roseburia faecis unknown	0.0	0.0	0.00010063399416322834	0.0	0.0	0.000201328769881216	0.0	0.0	0.0	0.00010062386798148522	0.0	0.0	0.0	0.0	0.0	0.00010045203415369161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces sp. ph3|strain_Actinomyces sp. ph3 unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001004419445560466	0.0	0.00010050251256281407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Clostridia|strain_unclassified Clostridia (miscellaneous)|s_Clostridia bacterium UC5.1-1D4|s_Clostridia bacterium UC5.1-1D4|s_Clostridia bacterium UC5.1-1D4|strain_Clostridia bacterium UC5.1-1D4 unknown	0.00010037137408411121	0.00010094891984655764	0.0005031699708161417	0.002026137169486374	0.00401324370422394	0.0009059794644654721	0.006346328195829555	0.0002017145738779627	0.0008067769261799113	0.0010062386798148522	0.0	0.0002021427127552052	0.00010050251256281407	0.0010043185698503567	0.0	0.0016072325464590658	0.0	0.0	0.018260258854218923	0.0003037052034824863	0.0	0.00010102030508132135	0.0	0.0002022449185964203
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces sp. HPA0247|strain_Actinomyces sp. HPA0247 unknown	0.00010037137408411121	0.0002018978396931153	0.00010063399416322834	0.0003039205754229561	0.000401324370422394	0.000201328769881216	0.0	0.0	0.00020169423154497784	0.00010062386798148522	0.004519887505022097	0.0009096422073984233	0.0003015075376884422	0.00010043185698503566	0.0001015950421619425	0.00010045203415369161	0.0	0.0	0.00010033109260559848	0.0	0.0006024701275228437	0.00010102030508132135	0.00010053282396702523	0.0002022449185964203
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Massilimaliae|s_Massilimaliae massiliensis|strain_Massilimaliae massiliensis unknown	0.0	0.0	0.00010063399416322834	0.0	0.0001003310926055985	0.000100664384940608	0.0007051475773143951	0.00010085728693898135	0.00010084711577248892	0.00010062386798148522	0.0002008838891120932	0.0	0.0	0.00020086371397007131	0.0	0.0	0.0	0.0	0.0008026487408447879	0.0	0.00010041168792047396	0.0	0.00010053282396702523	0.0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Merdimonas|s_Merdimonas faecis|strain_Merdimonas faecis unknown	0.0	0.0	0.0	0.0	0.0001003310926055985	0.0	0.0	0.0	0.0	0.0	0.0001004419445560466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010033109260559848	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Anaerotignum|s_Anaerotignum sp. KCTC 15736|strain_Anaerotignum sp. KCTC 15736 unknown	0.0	0.0	0.0	0.0	0.0	0.0005033219247030401	0.0	0.0	0.0	0.0	0.0	0.0001010713563776026	0.0003015075376884422	0.0	0.0	0.0	0.0012060301507537687	0.0	0.0	0.0008098805426199635	0.0	0.0	0.0007037297677691767	0.0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnoclostridium|s_[Clostridium] bolteae|strain_[Clostridium] bolteae unknown	0.0029107698484392252	0.00171613163739148	0.002113313877427795	0.005571877216087529	0.006421189926758304	0.002415945238574592	0.006346328195829555	0.004236006051437217	0.005546591367486891	0.00482994566311129	0.0014061872237846526	0.001212856276531231	0.007035175879396984	0.005624183991161998	0.001422330590267195	0.007835258663987946	0.0010050251256281408	0.0006031969438021514	0.011136751279221431	0.0019234662887224134	0.0011045285671252136	0.0018183654914637843	0.0016085251834724037	0.001921326726665993
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus milleri|strain_Streptococcus milleri unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001010713563776026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella bryantii|strain_Prevotella bryantii C21a	0.0	0.0	0.00020126798832645668	0.0	0.0	0.000201328769881216	0.0	0.00010085728693898135	0.0	0.00030187160394445564	0.0	0.0	0.0	0.0	0.0	0.00040180813661476645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Merdibacter|s_Merdibacter massiliensis|strain_Merdibacter massiliensis unknown	0.00010037137408411121	0.00010094891984655764	0.00030190198248968497	0.0001013068584743187	0.0001003310926055985	0.000301993154821824	0.00020147073637554144	0.00030257186081694405	0.00010084711577248892	0.00030187160394445564	0.0001004419445560466	0.0	0.0	0.00010043185698503566	0.0001015950421619425	0.00030135610246107485	0.00010050251256281407	0.00010053282396702523	0.00010033109260559848	0.0	0.00010041168792047396	0.0	0.00020106564793405046	0.00010112245929821015
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus sp. oral taxon 071|strain_Streptococcus sp. oral taxon 071 str. 73H25AP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001010713563776026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter calcoaceticus/baumannii complex|strain_Acinetobacter calcoaceticus/baumannii complex unknown	0.0	0.0	0.0	0.0	0.0	0.000100664384940608	0.0	0.0	0.0	0.00010062386798148522	0.0	0.0	0.0	0.0	0.0	0.00010045203415369161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Anaeromassilibacillus|s_Anaeromassilibacillus sp. An200|strain_Anaeromassilibacillus sp. An200 unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.00010073536818777072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Parabacteroides|s_Parabacteroides gordonii|strain_Parabacteroides gordonii MS-1	0.00010037137408411121	0.0009085402786190187	0.00040253597665291336	0.0007091480093202309	0.000200662185211197	0.000201328769881216	0.00020147073637554144	0.00030257186081694405	0.00010084711577248892	0.00030187160394445564	0.0004017677782241864	0.0007074994946432182	0.00020100502512562814	0.00010043185698503566	0.0007111652951335975	0.00010045203415369161	0.0	0.0005026641198351262	0.00010033109260559848	0.0006074104069649726	0.0005020584396023698	0.000303060915243964	0.0	0.0005056122964910508
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Oceanospirillales|f_Oceanospirillaceae|g_Oceanobacter|s_Oceanobacter sp.|strain_Oceanobacter sp. unknown	0.0	0.0	0.00010063399416322834	0.0	0.0	0.0	0.00010073536818777072	0.00010085728693898135	0.0	0.0	0.0	0.0	0.0	0.00010043185698503566	0.0	0.0	0.0	0.00010053282396702523	0.0	0.00010123506782749544	0.0	0.0	0.0	0.0
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides sp. AM22-3LB|strain_Bacteroides sp. AM22-3LB unknown	0.00010037137408411121	0.00010094891984655764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001004419445560466	0.0001010713563776026	0.0	0.0	0.0001015950421619425	0.0	0.0	0.00020106564793405046	0.0	0.0003037052034824863	0.00010041168792047396	0.00010102030508132135	0.0	0.0002022449185964203
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Sutterellaceae|g_Parasutterella|s_Parasutterella excrementihominis|strain_Parasutterella excrementihominis unknown	0.0	0.0	0.00010063399416322834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus vestibularis|strain_Streptococcus vestibularis F0396	0.0	0.0006056935190793458	0.00040253597665291336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011048613901165126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002811527261773271	0.0	0.0	0.0
